,N0,N1,chi2,P,df
Class_1,5,4.0,14.20507969113155,0.11521487210579429,9
Class_10,11,5.0,14.20507969113155,0.11521487210579429,9
Class_2,2,2.0,14.20507969113155,0.11521487210579429,9
Class_3,13,10.0,14.20507969113155,0.11521487210579429,9
Class_4,24,19.0,14.20507969113155,0.11521487210579429,9
Class_5,4,9.0,14.20507969113155,0.11521487210579429,9
Class_6,4,1.0,14.20507969113155,0.11521487210579429,9
Class_7,11,5.0,14.20507969113155,0.11521487210579429,9
Class_8,18,16.0,14.20507969113155,0.11521487210579429,9
Class_9,0,6.0,14.20507969113155,0.11521487210579429,9
