,T1,T2,T3,chi2,P,df
Class_1,3,5.0,3.0,35.67008230959734,0.007775021974711029,18
Class_10,5,7.0,8.0,35.67008230959734,0.007775021974711029,18
Class_2,0,2.0,2.0,35.67008230959734,0.007775021974711029,18
Class_3,7,12.0,6.0,35.67008230959734,0.007775021974711029,18
Class_4,20,21.0,10.0,35.67008230959734,0.007775021974711029,18
Class_5,3,11.0,3.0,35.67008230959734,0.007775021974711029,18
Class_6,0,1.0,5.0,35.67008230959734,0.007775021974711029,18
Class_7,2,6.0,13.0,35.67008230959734,0.007775021974711029,18
Class_8,16,18.0,9.0,35.67008230959734,0.007775021974711029,18
Class_9,0,5.0,3.0,35.67008230959734,0.007775021974711029,18
