,I,II,IV,chi2,P,df
Class_1,3.0,0.0,8.0,56.39323859143275,7.72404164489197e-06,18
Class_10,5.0,2.0,13.0,56.39323859143275,7.72404164489197e-06,18
Class_2,0.0,2.0,2.0,56.39323859143275,7.72404164489197e-06,18
Class_3,7.0,3.0,15.0,56.39323859143275,7.72404164489197e-06,18
Class_4,20.0,0.0,31.0,56.39323859143275,7.72404164489197e-06,18
Class_5,3.0,1.0,13.0,56.39323859143275,7.72404164489197e-06,18
Class_6,0.0,3.0,3.0,56.39323859143275,7.72404164489197e-06,18
Class_7,2.0,6.0,13.0,56.39323859143275,7.72404164489197e-06,18
Class_8,16.0,0.0,27.0,56.39323859143275,7.72404164489197e-06,18
Class_9,0.0,0.0,8.0,56.39323859143275,7.72404164489197e-06,18
