,Class_3,Class_2,Class_8,Class_5,Class_6,Class_7,Class_9,Class_10,Class_4,Class_1
TP53,0.0,0.0,0.3333333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0
CGGBP1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.18181818181818182,0.0
TSPEAR,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09090909090909091,0.0
GBP4,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.0
OR4A15,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
MLK4,0.3333333333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
RALGPS1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0.0
OR52I1,0.0,0.0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0.0
TLCD1,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0
GPR149,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09090909090909091,0.0
MARCO,0.0,0.0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0.0
CKS1B,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.0
ESYT1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0.0
NOS1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09090909090909091,0.0
A1CF,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0.0
USP21,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09090909090909091,0.0
TMEM2,0.3333333333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ZNF800,0.3333333333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MAN1B1,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0
CEP290,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
KRAS,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09090909090909091,0.0
CDK14,0.0,0.0,0.16666666666666666,0.0,0,0.0,0.0,0.0,0.0,0.0
KPNA7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09090909090909091,0.0
ATF7IP,0.0,0.0,0.16666666666666666,0.0,0,0.0,0.0,0.0,0.0,0.0
NPR2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09090909090909091,0.0
TSPAN18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09090909090909091,0.0
NAV2,0.0,0.0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0.0
PLEKHB2,0.0,0.0,0.16666666666666666,0.0,0,0.0,0.0,0.0,0.0,0.0
DMXL2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09090909090909091,0.0
IGHV3-52,0.0,0.0,0.16666666666666666,0.0,0,0.0,0.0,0.0,0.0,0.0
