,46 ~ 50,51 ~ 55,66 ~ 70,71 ~ 75,chi2,P,df
Class_1,2.0,2.0,4.0,3.0,36.130764750207554,0.11247018184360129,27
Class_10,4.0,4.0,5.0,5.0,36.130764750207554,0.11247018184360129,27
Class_2,0.0,0.0,2.0,0.0,36.130764750207554,0.11247018184360129,27
Class_3,3.0,2.0,10.0,7.0,36.130764750207554,0.11247018184360129,27
Class_4,4.0,8.0,19.0,20.0,36.130764750207554,0.11247018184360129,27
Class_5,0.0,4.0,9.0,3.0,36.130764750207554,0.11247018184360129,27
Class_6,1.0,1.0,1.0,0.0,36.130764750207554,0.11247018184360129,27
Class_7,5.0,5.0,3.0,2.0,36.130764750207554,0.11247018184360129,27
Class_8,2.0,9.0,16.0,16.0,36.130764750207554,0.11247018184360129,27
Class_9,0.0,2.0,6.0,0.0,36.130764750207554,0.11247018184360129,27
