,FEMALE,MALE,chi2,P,df
Class_1,4,7,4.86143177322816,0.8462163823545488,9
Class_10,9,11,4.86143177322816,0.8462163823545488,9
Class_2,2,2,4.86143177322816,0.8462163823545488,9
Class_3,10,15,4.86143177322816,0.8462163823545488,9
Class_4,26,25,4.86143177322816,0.8462163823545488,9
Class_5,6,11,4.86143177322816,0.8462163823545488,9
Class_6,4,2,4.86143177322816,0.8462163823545488,9
Class_7,8,13,4.86143177322816,0.8462163823545488,9
Class_8,23,20,4.86143177322816,0.8462163823545488,9
Class_9,3,5,4.86143177322816,0.8462163823545488,9
